lh.aparc.area	lh_bankssts_area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_frontalpole_area	lh_temporalpole_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
IXI022-Guys-0701	1131.0	575.0	3187.0	1642.0	591.0	3450.0	4568.0	4991.0	1177.0	5606.0	3041.0	3495.0	2395.0	4159.0	720.0	1473.0	1785.0	712.0	1258.0	1482.0	4406.0	1317.0	5403.0	3832.0	847.0	6461.0	8459.0	5094.0	4408.0	5748.0	269.0	638.0	452.0	2644.0	97408.1	1301366.0	1873658.27438
IXI023-Guys-0699	1248.0	522.0	2589.0	1391.0	454.0	2926.0	4987.0	3305.0	956.0	5371.0	2634.0	2903.0	1845.0	3225.0	750.0	1350.0	1763.0	665.0	1520.0	1071.0	3922.0	1249.0	4961.0	4065.0	721.0	5846.0	7278.0	4835.0	4360.0	4109.0	263.0	462.0	443.0	2773.0	86758.1	1134924.0	1512320.47111
IXI024-Guys-0705	920.0	594.0	2498.0	1450.0	476.0	2925.0	4117.0	3503.0	823.0	4934.0	2801.0	2909.0	2141.0	3000.0	626.0	1472.0	1545.0	692.0	1148.0	1441.0	4234.0	1197.0	4870.0	3305.0	731.0	5332.0	7335.0	4776.0	3609.0	3561.0	248.0	477.0	363.0	2391.0	82386.7	1098722.0	1519883.00459
IXI025-Guys-0852	1247.0	723.0	2145.0	1306.0	520.0	2921.0	4430.0	3461.0	876.0	4012.0	2794.0	2219.0	2230.0	3516.0	641.0	1571.0	1591.0	775.0	1247.0	989.0	3726.0	1130.0	4781.0	4026.0	1068.0	6377.0	7891.0	5254.0	4177.0	4123.0	253.0	523.0	476.0	2249.0	85265.8	1132468.0	1607094.15027
IXI026-Guys-0696	945.0	500.0	1932.0	1407.0	503.0	2887.0	4638.0	2829.0	630.0	4706.0	2317.0	2555.0	1588.0	2623.0	560.0	1147.0	1119.0	522.0	841.0	1198.0	3782.0	807.0	4212.0	3318.0	562.0	4146.0	5779.0	4004.0	2710.0	3074.0	188.0	463.0	256.0	1727.0	70385.0	1000438.0	1413405.01161
IXI027-Guys-0710	1322.0	634.0	2299.0	1442.0	566.0	3641.0	4733.0	3959.0	1053.0	4899.0	2647.0	2812.0	1916.0	3498.0	695.0	1549.0	1885.0	564.0	1265.0	1319.0	3849.0	1326.0	4313.0	3504.0	752.0	5515.0	8113.0	5123.0	4287.0	4400.0	260.0	541.0	490.0	2439.0	87601.4	1262355.0	1598595.58814
IXI028-Guys-1038	906.0	408.0	1769.0	1108.0	572.0	2765.0	3344.0	3500.0	965.0	3943.0	2341.0	2366.0	1670.0	2734.0	612.0	1336.0	1347.0	598.0	1073.0	1041.0	3798.0	933.0	4484.0	3154.0	654.0	4697.0	6742.0	3955.0	3355.0	4314.0	196.0	507.0	385.0	2076.0	73642.5	1034453.0	1535745.117
IXI029-Guys-0829	966.0	523.0	1913.0	1055.0	473.0	2768.0	4442.0	3065.0	727.0	4359.0	2029.0	2287.0	1615.0	2710.0	639.0	1430.0	1212.0	558.0	1133.0	946.0	3555.0	983.0	4563.0	2893.0	559.0	5138.0	7733.0	4041.0	3579.0	2895.0	219.0	478.0	444.0	2153.0	74082.7	998352.0	1341778.07453
IXI030-Guys-0708	1066.0	840.0	2207.0	1936.0	496.0	4309.0	5037.0	4240.0	1122.0	7022.0	3068.0	3468.0	2242.0	3254.0	642.0	1376.0	1883.0	868.0	1888.0	1430.0	4381.0	1347.0	4908.0	4191.0	1020.0	7312.0	8419.0	5786.0	4234.0	4802.0	289.0	551.0	577.0	2804.0	98991.3	1300045.0	1701560.6702
IXI031-Guys-0797	1035.0	544.0	2391.0	1470.0	452.0	3333.0	4057.0	3732.0	1080.0	5613.0	2712.0	3337.0	1872.0	3503.0	699.0	1471.0	1740.0	636.0	1548.0	1169.0	4370.0	1247.0	4931.0	4238.0	1020.0	5833.0	7329.0	6091.0	3946.0	3756.0	263.0	461.0	479.0	2376.0	88720.4	1201033.0	1590006.49808
IXI033-HH-1259	1202.0	585.0	1772.0	1556.0	322.0	2955.0	4481.0	3271.0	1005.0	4400.0	2947.0	2368.0	1965.0	3392.0	604.0	1186.0	1654.0	738.0	1899.0	1031.0	3854.0	993.0	4657.0	4025.0	855.0	5683.0	7864.0	5466.0	3943.0	4269.0	252.0	383.0	491.0	2332.0	84387.1	1234230.0	1722990.44531
IXI034-HH-1260	1125.0	740.0	2660.0	1477.0	448.0	3289.0	5338.0	3669.0	903.0	4869.0	2749.0	3022.0	2198.0	3263.0	707.0	1349.0	1490.0	699.0	1281.0	1394.0	3958.0	1041.0	4838.0	3801.0	794.0	6331.0	7734.0	6102.0	3749.0	4046.0	240.0	485.0	417.0	2423.0	88623.8	1203441.0	1663490.8176
IXI035-IOP-0873	784.0	413.0	2166.0	1732.0	398.0	3581.0	4307.0	3189.0	863.0	4653.0	2442.0	3527.0	1928.0	2736.0	663.0	1219.0	1698.0	794.0	1404.0	1549.0	3776.0	818.0	4972.0	4009.0	818.0	5422.0	6658.0	6138.0	3964.0	4240.0	252.0	443.0	621.0	2929.0	85032.5	1196867.0	1425401.87927
IXI036-Guys-0736	1247.0	709.0	2561.0	1772.0	604.0	3499.0	6622.0	4286.0	1017.0	5459.0	2605.0	2748.0	1907.0	4035.0	764.0	1453.0	1907.0	647.0	1388.0	1281.0	4242.0	1011.0	5188.0	4371.0	1008.0	6474.0	8396.0	6277.0	4499.0	4544.0	251.0	470.0	504.0	2379.0	96122.0	1308384.0	1743053.00457
IXI037-Guys-0704	1034.0	709.0	1864.0	1608.0	490.0	3247.0	4608.0	3299.0	1060.0	4915.0	2739.0	2880.0	1905.0	3134.0	649.0	1364.0	1636.0	658.0	1212.0	1491.0	3487.0	1202.0	4296.0	4168.0	927.0	4963.0	6886.0	5060.0	3400.0	4130.0	252.0	485.0	354.0	2189.0	82297.1	1095659.0	1569785.99082
IXI038-Guys-0729	831.0	765.0	2261.0	1642.0	432.0	3660.0	4132.0	3780.0	969.0	5364.0	2721.0	3229.0	1857.0	3471.0	641.0	1498.0	2346.0	691.0	1660.0	1605.0	4297.0	1190.0	5378.0	4088.0	939.0	5380.0	7756.0	5418.0	4635.0	3853.0	310.0	623.0	452.0	2570.0	90442.5	1254819.0	1704381.47017
IXI039-HH-1261	1008.0	615.0	2345.0	1505.0	469.0	3483.0	4913.0	3585.0	1250.0	4503.0	3435.0	2952.0	1982.0	3275.0	798.0	1455.0	2015.0	822.0	1631.0	1546.0	4530.0	1308.0	5392.0	4249.0	1008.0	6144.0	8662.0	6345.0	4281.0	5183.0	341.0	411.0	553.0	3325.0	95305.4	1301634.0	1847897.22366
IXI040-Guys-0724	865.0	595.0	1863.0	1394.0	402.0	2570.0	3777.0	3205.0	807.0	4380.0	2481.0	2829.0	1791.0	3089.0	578.0	1147.0	1258.0	682.0	1248.0	1249.0	3612.0	1197.0	4159.0	2934.0	763.0	5366.0	6895.0	3668.0	3161.0	3333.0	267.0	435.0	386.0	2047.0	74396.5	987522.0	1349737.67223
IXI041-Guys-0706	1308.0	559.0	2317.0	1485.0	596.0	3876.0	4563.0	4594.0	1116.0	5674.0	3179.0	3360.0	2036.0	3499.0	680.0	1349.0	1870.0	782.0	1628.0	1401.0	5003.0	1209.0	5627.0	4311.0	833.0	6508.0	7846.0	5992.0	4340.0	5870.0	266.0	569.0	573.0	2545.0	97363.5	1330303.0	1844748.00343
IXI042-Guys-0725	1113.0	434.0	1900.0	1379.0	420.0	3053.0	4930.0	3687.0	871.0	4391.0	2828.0	2736.0	1863.0	3308.0	684.0	1248.0	1400.0	717.0	1257.0	1263.0	3719.0	1129.0	4299.0	3464.0	835.0	6284.0	6526.0	4650.0	3657.0	3378.0	232.0	443.0	452.0	1997.0	80547.7	1070253.0	1465758.95625
IXI043-Guys-0714	1107.0	575.0	2201.0	1318.0	330.0	2646.0	4046.0	3314.0	838.0	4506.0	2928.0	2372.0	1689.0	3400.0	706.0	1385.0	1574.0	682.0	1361.0	1063.0	4383.0	1300.0	5144.0	3959.0	644.0	5695.0	8837.0	5852.0	4246.0	4334.0	275.0	435.0	480.0	2870.0	86489.7	1125741.0	1506314.5019
IXI044-Guys-0712	829.0	563.0	2180.0	1258.0	568.0	2786.0	3727.0	2992.0	980.0	4038.0	2635.0	2514.0	2011.0	3380.0	561.0	1345.0	1697.0	660.0	1309.0	1010.0	3850.0	1225.0	4341.0	2778.0	478.0	5021.0	6621.0	4695.0	3996.0	3663.0	237.0	398.0	497.0	2151.0	76989.2	1037850.0	1555616.05728
IXI045-Guys-0713	831.0	544.0	2322.0	1828.0	698.0	3237.0	3706.0	3591.0	902.0	4950.0	2705.0	3100.0	1996.0	3110.0	705.0	1451.0	1470.0	724.0	1172.0	1415.0	4780.0	945.0	5166.0	4179.0	988.0	6069.0	8087.0	6730.0	4179.0	5079.0	269.0	499.0	591.0	2405.0	90372.8	1244952.0	1621328.89049
IXI046-Guys-0824	848.0	478.0	2209.0	1472.0	456.0	2796.0	4539.0	3392.0	812.0	5084.0	2548.0	2646.0	1708.0	2989.0	588.0	1313.0	1404.0	612.0	1151.0	1357.0	3437.0	925.0	4846.0	3394.0	722.0	4950.0	7021.0	4191.0	3350.0	3181.0	191.0	477.0	347.0	2046.0	77477.4	1091891.0	1456993.94254
IXI048-HH-1326	1334.0	1092.0	2325.0	1556.0	368.0	3081.0	5216.0	3790.0	899.0	5100.0	2791.0	3021.0	1654.0	3518.0	752.0	1421.0	1901.0	775.0	1618.0	1189.0	5131.0	1535.0	5615.0	4856.0	1105.0	7471.0	8161.0	5919.0	4349.0	4519.0	224.0	331.0	610.0	3463.0	96672.6	1326839.0	1825693.91231
IXI049-HH-1358	863.0	685.0	2450.0	2183.0	430.0	3760.0	4708.0	3957.0	1054.0	5764.0	3042.0	3648.0	2261.0	3293.0	502.0	1288.0	1378.0	859.0	1336.0	2085.0	4380.0	1206.0	4996.0	3899.0	688.0	7066.0	7995.0	5553.0	4185.0	3826.0	288.0	552.0	434.0	2456.0	93063.7	1284907.0	1853000.80138
IXI050-Guys-0711	919.0	664.0	2522.0	1550.0	535.0	2901.0	4092.0	3515.0	960.0	5026.0	2751.0	2925.0	1722.0	3149.0	595.0	1145.0	1305.0	807.0	1285.0	1515.0	4455.0	1264.0	4850.0	3367.0	862.0	5180.0	7677.0	5842.0	4258.0	4882.0	239.0	473.0	486.0	2842.0	86538.7	1172048.0	1667609.1452
IXI051-HH-1328	923.0	549.0	1907.0	1510.0	347.0	3113.0	5200.0	3542.0	1075.0	5519.0	2583.0	3246.0	1977.0	3035.0	585.0	1233.0	1607.0	629.0	1337.0	1527.0	3671.0	1042.0	4505.0	3986.0	812.0	5989.0	7817.0	4895.0	3980.0	3809.0	245.0	430.0	450.0	2271.0	85340.8	1188257.0	1591410.41764
IXI052-HH-1343	1081.0	618.0	2473.0	1630.0	345.0	4364.0	4798.0	3858.0	882.0	5185.0	2919.0	2805.0	1843.0	3876.0	873.0	1426.0	1924.0	700.0	1406.0	1220.0	4301.0	1266.0	5197.0	4207.0	833.0	5526.0	8439.0	6356.0	4650.0	4754.0	231.0	426.0	496.0	3062.0	93942.7	1333999.0	1831934.85083
IXI053-Guys-0727	1019.0	576.0	2306.0	1626.0	634.0	3649.0	4877.0	3582.0	908.0	6464.0	2827.0	2938.0	2064.0	3501.0	772.0	1470.0	1557.0	814.0	1504.0	1598.0	4172.0	1197.0	5219.0	3778.0	849.0	6237.0	7783.0	5278.0	4635.0	3603.0	216.0	562.0	514.0	2786.0	91512.7	1240286.0	1692720.47703
IXI054-Guys-0707	1012.0	553.0	1918.0	1312.0	511.0	2908.0	3846.0	3051.0	981.0	4358.0	2257.0	3220.0	1696.0	3079.0	801.0	1227.0	1323.0	580.0	958.0	1197.0	3502.0	910.0	4630.0	3511.0	800.0	4595.0	5864.0	4277.0	3645.0	3668.0	238.0	470.0	376.0	1914.0	75189.1	1034081.0	1391510.11524
IXI055-Guys-0730	1022.0	506.0	2080.0	1386.0	455.0	3065.0	4904.0	3515.0	1013.0	4983.0	2740.0	3166.0	1934.0	3411.0	720.0	1179.0	1571.0	627.0	1274.0	1368.0	3759.0	920.0	4143.0	3824.0	760.0	5215.0	7557.0	5695.0	3638.0	3491.0	253.0	408.0	343.0	2177.0	83102.3	1132181.0	1550499.52987
IXI056-HH-1327	1075.0	485.0	2529.0	1851.0	416.0	3201.0	4369.0	3397.0	1086.0	5429.0	2929.0	3958.0	1909.0	3125.0	636.0	1305.0	1742.0	724.0	1478.0	1648.0	3859.0	1088.0	4946.0	4480.0	1036.0	6204.0	7257.0	6139.0	4187.0	4167.0	288.0	496.0	457.0	2417.0	90300.9	1259491.0	1727951.51729
IXI057-HH-1342	835.0	459.0	2529.0	1672.0	383.0	3644.0	4152.0	3516.0	1106.0	4778.0	2935.0	3740.0	2247.0	3127.0	628.0	1484.0	1929.0	648.0	1454.0	1847.0	4486.0	992.0	4691.0	4375.0	687.0	6387.0	8641.0	5620.0	3994.0	3683.0	287.0	535.0	643.0	2705.0	90829.5	1225169.0	1692495.20185
IXI058-Guys-0726	909.0	858.0	2891.0	1721.0	809.0	3960.0	6048.0	4728.0	1158.0	5704.0	3163.0	2638.0	2736.0	3451.0	793.0	1770.0	1760.0	811.0	1636.0	1487.0	4844.0	1306.0	6331.0	4766.0	1108.0	6980.0	9027.0	6671.0	4551.0	5025.0	335.0	571.0	570.0	2680.0	103797.0	1463208.0	1978165.42666
IXI059-HH-1284	1089.0	384.0	1985.0	1314.0	576.0	3608.0	4758.0	3187.0	927.0	5450.0	2329.0	3022.0	1867.0	2996.0	638.0	1197.0	1897.0	645.0	1598.0	1140.0	3951.0	1043.0	4694.0	3804.0	1059.0	6660.0	7479.0	6503.0	4223.0	4958.0	328.0	428.0	583.0	2436.0	88751.8	1186209.0	1617199.62015
IXI060-Guys-0709	1181.0	619.0	2343.0	1655.0	522.0	3469.0	4375.0	3538.0	1009.0	5186.0	2870.0	3213.0	1975.0	3707.0	651.0	1377.0	1732.0	861.0	1588.0	1474.0	5151.0	1396.0	5185.0	3883.0	908.0	7243.0	9814.0	5475.0	4564.0	5287.0	223.0	479.0	480.0	2679.0	96106.9	1316548.0	1729830.71396
IXI061-Guys-0715	814.0	458.0	2087.0	1449.0	428.0	2974.0	4241.0	3245.0	746.0	4955.0	2452.0	3129.0	1786.0	3046.0	590.0	1359.0	1570.0	662.0	1110.0	1610.0	3500.0	987.0	4541.0	3118.0	709.0	5460.0	6730.0	5020.0	3366.0	3204.0	218.0	433.0	376.0	2066.0	78437.4	1066116.0	1308186.32434
IXI062-Guys-0740	1191.0	768.0	2537.0	1570.0	377.0	3146.0	5001.0	3788.0	1121.0	5620.0	2731.0	3280.0	2251.0	4023.0	726.0	1338.0	1682.0	763.0	1483.0	1339.0	4257.0	1332.0	4734.0	4283.0	832.0	5882.0	7376.0	5826.0	4510.0	4378.0	238.0	481.0	406.0	2441.0	91688.4	1228345.0	1675032.92292
IXI063-Guys-0742	820.0	823.0	2779.0	1242.0	513.0	3496.0	4410.0	3588.0	1153.0	5794.0	3091.0	4121.0	2305.0	3188.0	730.0	1320.0	1707.0	709.0	1344.0	1713.0	4877.0	1357.0	5707.0	4679.0	1078.0	7397.0	9150.0	6090.0	5048.0	5446.0	322.0	557.0	650.0	2720.0	99912.7	1313510.0	1750840.74807
IXI064-Guys-0743	982.0	646.0	2106.0	1549.0	640.0	3455.0	4412.0	4650.0	980.0	5483.0	2904.0	3229.0	2037.0	3791.0	594.0	1130.0	1742.0	866.0	1492.0	1475.0	3926.0	979.0	4878.0	3812.0	806.0	6554.0	6994.0	5378.0	3779.0	4517.0	271.0	570.0	382.0	2336.0	89240.7	1200566.0	1541634.63883
IXI065-Guys-0744	1172.0	703.0	2216.0	1441.0	481.0	3430.0	5698.0	3694.0	938.0	4742.0	2833.0	3150.0	2056.0	3746.0	647.0	1221.0	1476.0	690.0	1219.0	1512.0	3970.0	1147.0	4401.0	4048.0	782.0	5648.0	7054.0	5583.0	4240.0	4350.0	296.0	518.0	409.0	2289.0	87797.3	1172637.0	1630138.04952
IXI066-Guys-0731	951.0	507.0	1625.0	1305.0	489.0	2818.0	3927.0	3250.0	742.0	3927.0	2238.0	2262.0	1637.0	2883.0	622.0	1216.0	1435.0	581.0	1239.0	1131.0	3392.0	926.0	3863.0	3126.0	627.0	4962.0	6401.0	4977.0	3246.0	3400.0	231.0	472.0	369.0	2058.0	72823.3	1005055.0	1386373.31024
IXI067-HH-1356	1133.0	582.0	2434.0	1737.0	573.0	4210.0	5498.0	4746.0	932.0	6299.0	2971.0	3695.0	1859.0	3923.0	907.0	1588.0	1734.0	866.0	1794.0	1819.0	4392.0	1179.0	4986.0	3929.0	1222.0	7991.0	9164.0	5921.0	4441.0	4916.0	329.0	625.0	508.0	3347.0	102248.0	1406767.0	1938445.21016
IXI068-Guys-0756	1148.0	777.0	2042.0	1246.0	313.0	2933.0	4138.0	3046.0	891.0	4727.0	2377.0	2401.0	1742.0	2936.0	581.0	1180.0	1357.0	581.0	1133.0	970.0	3621.0	1108.0	4683.0	3829.0	837.0	5313.0	6433.0	5106.0	3689.0	3855.0	245.0	430.0	465.0	2106.0	78238.0	1085713.0	1488582.42983
IXI069-Guys-0769	733.0	448.0	1470.0	1427.0	573.0	2651.0	3620.0	2624.0	796.0	3818.0	2475.0	2174.0	1684.0	2390.0	664.0	1074.0	1210.0	680.0	1162.0	1058.0	3158.0	843.0	4128.0	3260.0	580.0	4619.0	5441.0	4652.0	3319.0	3464.0	209.0	446.0	409.0	1789.0	69036.8	948602.0	1274866.37507
IXI070-Guys-0767	811.0	524.0	1956.0	1668.0	437.0	3143.0	3823.0	3126.0	978.0	5365.0	2556.0	2927.0	1725.0	2861.0	718.0	1334.0	1722.0	649.0	1372.0	1255.0	3845.0	1430.0	4222.0	4405.0	890.0	5871.0	7764.0	6314.0	3849.0	4292.0	261.0	538.0	458.0	2462.0	85549.0	1162094.0	1538543.43559
IXI071-Guys-0770	1086.0	426.0	1443.0	1200.0	372.0	2475.0	3959.0	3447.0	627.0	3928.0	2423.0	2233.0	1492.0	2821.0	516.0	1393.0	1181.0	647.0	1150.0	1042.0	3276.0	884.0	3940.0	3111.0	528.0	5066.0	6873.0	4666.0	3119.0	3017.0	187.0	471.0	338.0	2007.0	71340.3	994680.0	1332751.38195
IXI072-HH-2324	876.0	713.0	2619.0	1656.0	517.0	4033.0	4517.0	3048.0	889.0	5862.0	2613.0	3065.0	2091.0	3335.0	817.0	1428.0	1490.0	841.0	1559.0	1499.0	4027.0	1241.0	5190.0	3302.0	806.0	6565.0	6638.0	3968.0	4970.0	3163.0	284.0	339.0	590.0	2623.0	87170.2	1193104.0	1736219.56871
IXI073-Guys-0755	953.0	589.0	2270.0	1065.0	416.0	2481.0	4473.0	3061.0	972.0	4276.0	2183.0	2133.0	1788.0	3049.0	574.0	1191.0	1327.0	595.0	1191.0	929.0	3780.0	1055.0	4433.0	3250.0	693.0	4748.0	6507.0	4664.0	3554.0	2967.0	201.0	418.0	367.0	2080.0	74167.9	998499.0	1383390.94054
IXI074-Guys-0771	961.0	517.0	2165.0	1474.0	420.0	2892.0	3915.0	2957.0	988.0	4734.0	2574.0	2875.0	1891.0	3083.0	596.0	1413.0	1435.0	696.0	1339.0	1198.0	3598.0	1019.0	4724.0	3346.0	710.0	5519.0	7356.0	4778.0	3481.0	3280.0	274.0	433.0	379.0	2089.0	79012.8	1087826.0	1477807.43588
IXI075-Guys-0754	906.0	708.0	1993.0	1258.0	289.0	2398.0	3507.0	2669.0	854.0	4269.0	1950.0	2835.0	1745.0	2823.0	587.0	1106.0	1495.0	604.0	1244.0	1059.0	3486.0	1187.0	4131.0	2938.0	676.0	4607.0	6228.0	4380.0	3480.0	3407.0	226.0	431.0	367.0	2071.0	71911.1	952452.0	1270858.44502
IXI076-Guys-0753	1043.0	817.0	1813.0	1371.0	673.0	3483.0	4068.0	3653.0	875.0	4825.0	2486.0	3081.0	1822.0	3096.0	644.0	1359.0	1413.0	624.0	1262.0	1296.0	3916.0	1113.0	4194.0	3292.0	882.0	6375.0	7023.0	4406.0	4149.0	3646.0	239.0	532.0	463.0	2418.0	82267.0	1077330.0	1494599.54107
IXI077-Guys-0752	752.0	542.0	2288.0	1375.0	470.0	2622.0	3315.0	2491.0	762.0	4273.0	2553.0	2700.0	1750.0	2198.0	553.0	1383.0	1402.0	601.0	1041.0	1548.0	3541.0	1079.0	4716.0	2743.0	692.0	3904.0	6970.0	3943.0	3157.0	3189.0	213.0	412.0	426.0	2008.0	71599.3	1005684.0	1326953.34867
IXI078-Guys-0751	863.0	814.0	2580.0	1469.0	525.0	3489.0	4116.0	3890.0	1022.0	5164.0	2698.0	2841.0	1894.0	3177.0	584.0	1670.0	1731.0	804.0	1293.0	1327.0	4311.0	1141.0	4880.0	4349.0	755.0	6747.0	7948.0	5634.0	3705.0	4464.0	258.0	552.0	390.0	2294.0	89376.5	1227508.0	1570569.59564
IXI079-HH-1388	987.0	499.0	1901.0	1057.0	507.0	2986.0	4603.0	3068.0	696.0	4123.0	2476.0	2927.0	1516.0	3097.0	597.0	1214.0	1195.0	613.0	996.0	1187.0	3563.0	956.0	3942.0	3185.0	504.0	4475.0	6322.0	4796.0	3473.0	3818.0	243.0	461.0	467.0	2304.0	74749.1	982126.0	1319918.69926
IXI080-HH-1341	1043.0	664.0	1889.0	1194.0	322.0	2718.0	4283.0	2915.0	731.0	4079.0	2189.0	2670.0	1609.0	2759.0	628.0	1347.0	1623.0	737.0	1334.0	1067.0	3852.0	1005.0	4366.0	3342.0	512.0	5960.0	6480.0	4581.0	3627.0	3484.0	251.0	335.0	426.0	1975.0	75979.2	1051046.0	1450207.70672
IXI081-Guys-0855	784.0	535.0	1913.0	1328.0	401.0	2645.0	3685.0	2811.0	847.0	4009.0	2403.0	3181.0	1515.0	2472.0	575.0	1140.0	1323.0	576.0	1154.0	1374.0	3405.0	1029.0	3958.0	3202.0	593.0	4523.0	5912.0	4787.0	3033.0	3186.0	231.0	403.0	352.0	2257.0	71505.1	942429.0	1314705.6384
